ProductLine,Week,Hours
Health and beauty,1,13
Electronic accessories,10,10
Home and lifestyle,10,13
Health and beauty,5,20
Sports and travel,6,10
Electronic accessories,13,18
Electronic accessories,9,14
Home and lifestyle,9,11
Health and beauty,2,17
Food and beverages,8,13
Fashion accessories,6,18
Electronic accessories,10,17
Electronic accessories,7,10
Food and beverages,6,16
Health and beauty,13,19
Sports and travel,3,16
Health and beauty,11,11
Sports and travel,1,10
Food and beverages,4,18
Home and lifestyle,11,15
Electronic accessories,9,11
Health and beauty,10,10
Home and lifestyle,11,12
Electronic accessories,8,11
Sports and travel,9,17
Home and lifestyle,12,19
Fashion accessories,6,15
Fashion accessories,11,12
Food and beverages,4,19
Health and beauty,11,15
Fashion accessories,9,19
Sports and travel,5,12
Sports and travel,2,14
Health and beauty,11,10
Food and beverages,6,10
Sports and travel,2,12
Sports and travel,11,19
Electronic accessories,3,17
Health and beauty,12,13
Home and lifestyle,10,13
Home and lifestyle,3,18
Home and lifestyle,5,10
Sports and travel,6,13
Food and beverages,10,20
Health and beauty,11,19
Electronic accessories,10,18
Health and beauty,9,17
Food and beverages,6,15
Electronic accessories,7,12
Fashion accessories,12,17
Food and beverages,6,10
Food and beverages,7,15
Fashion accessories,12,14
Fashion accessories,4,15
Home and lifestyle,10,11
Electronic accessories,9,19
Home and lifestyle,13,11
Health and beauty,6,11
Home and lifestyle,4,15
Electronic accessories,11,20
Sports and travel,7,17
Home and lifestyle,9,10
Sports and travel,6,13
Sports and travel,10,12
Health and beauty,7,14
Health and beauty,11,16
Health and beauty,7,15
Fashion accessories,2,15
Sports and travel,4,10
Health and beauty,5,18
Food and beverages,2,12
Fashion accessories,7,16
Food and beverages,10,18
Electronic accessories,10,18
Home and lifestyle,4,10
Electronic accessories,3,17
Fashion accessories,2,14
Fashion accessories,2,15
Food and beverages,10,16
Health and beauty,4,18
Health and beauty,4,14
Food and beverages,4,19
Food and beverages,4,18
Food and beverages,8,18
Sports and travel,10,10
Sports and travel,10,14
Fashion accessories,13,10
Food and beverages,13,20
Sports and travel,1,16
Health and beauty,9,17
Home and lifestyle,4,10
Sports and travel,4,19
Sports and travel,2,16
Health and beauty,11,12
Health and beauty,6,20
Electronic accessories,10,20
